semana,fecha_pago,pago_capital,pago_interes,pago_semanal,saldo_capital,cartera_vigente,pago,prestamo_id,abono_registrado,saldo_pendiente
1,2018-11-28,3795.6,1604.4,5400.0,68204.4,81000.0,1,,5400.0,0.0
1,2018-12-07,4533.63,1916.37,6450.0,81466.37,96750.0,0,,0.0,0.0
1,2018-12-07,4533.63,1916.37,6450.0,81466.37,96750.0,0,,0.0,0.0
1,2018-12-07,4533.63,1916.37,6450.0,81466.37,96750.0,0,,0.0,0.0
1,2018-12-07,4533.63,1916.37,6450.0,81466.37,96750.0,0,,0.0,0.0
1,2018-12-07,4533.63,1916.37,6450.0,81466.37,96750.0,0,,0.0,0.0
1,2018-12-10,8750.97,3699.03,12450.0,157249.03,186750.0,0,,0.0,0.0
1,2018-12-10,8750.97,3699.03,12450.0,157249.03,186750.0,0,,0.0,0.0
1,2018-12-10,8750.97,3699.03,12450.0,157249.03,186750.0,0,,0.0,0.0
1,2018-12-10,8750.97,3699.03,12450.0,157249.03,186750.0,0,,0.0,0.0
1,2018-10-31,4744.5,2005.5,6750.0,85255.5,101250.0,0,,0.0,0.0
1,2018-12-05,7380.33,3119.67,10500.0,132619.67,157500.0,0,,0.0,0.0
1,2018-11-28,5798.83,2451.17,8250.0,104201.17,123750.0,0,,0.0,0.0
1,2018-11-12,2530.4,1069.6,3600.0,45469.6,54000.0,0,,0.0,0.0
1,2018-11-12,2530.4,1069.6,3600.0,45469.6,54000.0,0,,0.0,0.0
1,2018-11-28,5798.83,2451.17,8250.0,104201.17,123750.0,0,,0.0,0.0
1,2018-11-28,5798.83,2451.17,8250.0,104201.17,123750.0,0,,0.0,0.0
1,2018-11-28,5798.83,2451.17,8250.0,104201.17,123750.0,0,,0.0,0.0
1,2018-12-05,7380.33,3119.67,10500.0,132619.67,157500.0,0,,0.0,0.0
1,2018-10-31,4744.5,2005.5,6750.0,85255.5,101250.0,0,,0.0,0.0
1,2018-12-10,8750.97,3699.03,12450.0,157249.03,186750.0,0,,0.0,0.0
1,2018-11-15,4217.33,1782.67,6000.0,75782.67,90000.0,0,,0.0,0.0
1,2018-12-10,2266.82,958.18,3225.0,40733.18,48375.0,0,,0.0,0.0
1,2018-11-02,3163.0,1337.0,4500.0,56837.0,67500.0,0,,0.0,0.0
1,2018-11-15,4217.33,1782.67,6000.0,75782.67,90000.0,0,,0.0,0.0
1,2018-11-16,4691.78,1983.22,6675.0,84308.22,100125.0,0,,0.0,0.0
1,2018-10-26,1054.33,445.67,1500.0,18945.67,22500.0,0,,0.0,0.0
1,2018-12-14,2635.83,1114.17,3750.0,47364.17,56250.0,0,,0.0,0.0
1,2018-12-10,2266.82,958.18,3225.0,40733.18,48375.0,0,,0.0,0.0
1,2018-11-02,3163.0,1337.0,4500.0,56837.0,67500.0,0,,0.0,0.0
1,2018-11-16,4691.78,1983.22,6675.0,84308.22,100125.0,0,,0.0,0.0
1,2018-10-26,1054.33,445.67,1500.0,18945.67,22500.0,0,,0.0,0.0
1,2018-12-14,3426.58,1448.42,4875.0,61573.42,73125.0,0,,0.0,0.0
1,2018-11-05,6853.17,2896.83,9750.0,123146.83,146250.0,0,,0.0,0.0
1,2018-10-26,2952.13,1247.87,4200.0,53047.87,63000.0,1,,4200.0,0.0
1,2018-10-15,1265.2,534.8,1800.0,22734.8,27000.0,1,16,1800.0,0.0
1,2018-12-19,4744.5,2005.5,6750.0,85255.5,101250.0,1,,6750.0,0.0
1,2018-10-31,4744.5,2005.5,6750.0,85255.5,101250.0,1,4,6750.0,0.0
